Title,PositiveReview,NegativeReview,Score,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,CharacterLenTitle,CharacterLenPropertyResponse,CharacterLenPositive,CharacterLenNegative,Score2,PropertyResponseYesOrNo,CLT_bins,CLP_bins,CLN_bins
Wonderful,,,9.0,United Kingdom,Double Room with Balcony,3,2022-09-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,1,2022-08-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,United Kingdom,Family Suite with Balcony,1,2022-10-01,Family,,9,0,0,0,9.0,No,1,1,1
"The stay at the hotel was pleasant, especially suitable for getting to know larnaca and its surround",,,8.0,Czech Republic,Standard Triple Room,3,2022-09-01,Family,,100,0,0,0,8.0,No,5,1,1
Exceptional,,,10.0,Serbia,Double Room with Balcony,2,2022-10-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Germany,Budget Twin Room,1,2022-10-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Budget Twin Room,1,2022-10-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Israel,Double Room with Balcony,2,2022-09-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United Kingdom,Double Room,1,2022-10-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Czech Republic,Double Room,1,2022-10-01,Couple,,11,0,0,0,10.0,Yes,2,1,1
Very good,,,8.0,United Kingdom,Double Room,1,2022-09-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Croatia,Double Room with Balcony,10,2022-09-01,Solo,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Canada,Two-Bedroom Suite,1,2022-10-01,Family,,9,0,0,0,8.0,No,1,1,1
We had a short stay and late check in was very easy and comfortable.,,,9.0,Estonia,Double Room with Balcony,1,2022-10-01,Couple,,68,0,0,0,9.0,No,5,1,1
Wonderful,,,9.0,United Kingdom,Double Room,1,2022-10-01,Couple,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,United Kingdom,Two-Bedroom Suite,2,2022-10-01,Group,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Egypt,Double Room,1,2022-07-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Australia,Two-Bedroom Suite,3,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Good hotel and very close to the airport.,,,8.0,Germany,Suite with Balcony,1,2022-10-01,Family,,41,0,0,0,8.0,No,5,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,1,2022-10-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United Kingdom,Two-Bedroom Suite,1,2022-10-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Italy,Double Room,1,2022-10-01,Couple,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Greece,Double Room with Balcony,2,2022-10-01,Couple,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Australia,Two-Bedroom Suite,1,2022-09-01,Family,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Iceland,Double Room with Balcony,1,2022-09-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Lebanon,Budget Twin Room,1,2022-09-01,Solo,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Cyprus,Double Room with Balcony,1,2022-10-01,Family,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Cyprus,Double Room with Balcony,3,2022-09-01,Solo,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,United States of America,Double Room with Balcony,1,2022-09-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,1,2022-09-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,United Kingdom,Standard Triple Room,1,2022-09-01,Solo,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Spain,Double Room,1,2022-09-01,Group,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Germany,Double Room,1,2022-09-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,United Kingdom,Double Room,1,2022-09-01,Couple,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,United States of America,Double Room,1,2022-09-01,Couple,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,United Kingdom,Budget Twin Room,1,2022-09-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,South Africa,Two-Bedroom Suite,1,2022-09-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,United Kingdom,Double Room with Balcony,2,2022-09-01,Solo,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Armenia,Double Room with Balcony,2,2022-09-01,Group,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Australia,Two-Bedroom Suite,1,2022-09-01,Group,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Slovenia,Double Room with Balcony,3,2022-09-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Israel,Double Room with Balcony,1,2022-09-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Canada,Double Room,1,2022-09-01,Solo,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Cyprus,Double Room with Balcony,1,2022-09-01,Solo,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,United Kingdom,Budget Twin Room,3,2022-09-01,Family,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,United Kingdom,Standard Triple Room,1,2022-08-01,Family,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Cyprus,Budget Twin Room,1,2022-08-01,Solo,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Israel,Double Room,1,2022-08-01,Family,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Suite with Balcony,1,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,United Kingdom,Family Suite with Balcony,16,2022-08-01,Group,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Lebanon,Double Room with Balcony,1,2022-08-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Double Room with Balcony,1,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Cyprus,Double Room with Balcony,1,2022-08-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Double Room with Balcony,5,2022-08-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United States of America,Double Room,1,2022-07-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Greece,Budget Twin Room,1,2022-06-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,3,2022-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Saudi Arabia,Double Room with Balcony,2,2022-07-01,Solo,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Lithuania,Double Room with Balcony,3,2022-08-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Double Room,1,2022-07-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Cyprus,Double Room with Balcony,1,2022-06-01,Couple,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Cyprus,Double Room,1,2022-07-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Greece,Double Room with Balcony,1,2022-07-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,United Kingdom,Double Room,1,2022-07-01,Couple,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,United States of America,Double Room with Balcony,1,2022-07-01,Solo,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,United States of America,Budget Twin Room,1,2022-07-01,Family,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Standard Triple Room,4,2022-07-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Austria,Double Room with Balcony,5,2022-07-01,Solo,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,United Kingdom,Double Room,1,2022-06-01,Group,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,United States of America,Double Room with Balcony,1,2022-07-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,United Arab Emirates,Double Room,2,2022-06-01,Group,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Budget Twin Room,1,2022-06-01,Group,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Cyprus,Double Room with Balcony,1,2022-07-01,Family,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,1,2022-07-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,2,2022-06-01,Solo,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Cyprus,Double Room,1,2022-07-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Lebanon,Double Room,2,2022-07-01,Solo,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,United Kingdom,Double Room,1,2022-07-01,Solo,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Cyprus,Double Room with Balcony,1,2022-07-01,Family,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Two-Bedroom Suite,1,2022-07-01,Group,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,1,2022-07-01,Group,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Belarus,Standard Triple Room,2,2022-07-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Sweden,Standard Triple Room,1,2022-07-01,Family,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Lebanon,Standard Triple Room,1,2022-07-01,Family,,9,0,0,0,8.0,No,1,1,1
Excellent location for the airport.  clean & comfortable & good evening meal.,,,10.0,Cyprus,Double Room,1,2022-07-01,Couple,,77,0,0,0,10.0,No,5,1,1
Exceptional,,,10.0,United States of America,Double Room with Balcony,1,2022-06-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Ireland,Double Room with Balcony,1,2022-07-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,United Kingdom,Double Room,1,2022-07-01,Solo,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Germany,Double Room with Balcony,1,2022-07-01,Group,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Romania,Double Room with Balcony,7,2022-07-01,Couple,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Switzerland,Family Suite with Balcony,1,2022-07-01,Family,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Poland,Double Room,1,2022-04-01,Couple,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,United States of America,Double Room with Balcony,1,2022-06-01,Solo,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,1,2022-06-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Cyprus,Double Room with Balcony,1,2022-06-01,Couple,,9,0,0,0,9.0,Yes,1,1,1
Wonderful,,,9.0,Cyprus,Double Room with Balcony,1,2022-05-01,Couple,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,United Kingdom,Budget Twin Room,1,2022-06-01,Group,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Australia,Double Room with Balcony,1,2022-06-01,Couple,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Malaysia,Double Room with Balcony,1,2022-06-01,Solo,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Colombia,Double Room,1,2022-06-01,Couple,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Germany,Double Room with Balcony,1,2022-06-01,Solo,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Turkey,Double Room,1,2022-05-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Ireland,Double Room with Balcony,3,2022-05-01,Solo,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Cyprus,Budget Twin Room,1,2022-06-01,Solo,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Slovakia,Budget Twin Room,1,2022-06-01,Solo,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,United Kingdom,Budget Twin Room,1,2022-06-01,Group,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Spain,Double Room with Balcony,1,2022-06-01,Couple,,9,0,0,0,9.0,No,1,1,1
Spotlessly clean and very well located from the airport.,,,9.0,United Kingdom,Double Room with Balcony,1,2022-06-01,Couple,,56,0,0,0,9.0,No,5,1,1
Exceptional,,,10.0,Cyprus,Double Room,1,2022-06-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,France,Double Room,2,2022-06-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Ukraine,Standard Triple Room,1,2022-06-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Cyprus,Double Room with Balcony,1,2022-06-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Greece,Budget Twin Room,1,2022-06-01,Group,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Germany,Double Room with Balcony,3,2022-06-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United Kingdom,Double Room with Balcony,1,2022-04-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,France,Double Room with Balcony,1,2022-06-01,Solo,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,United Kingdom,Two-Bedroom Suite,1,2022-06-01,Family,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Double Room,1,2022-06-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,United Kingdom,Budget Twin Room,1,2022-06-01,Family,,9,0,0,0,9.0,No,1,1,1
Everything was perfect,,,10.0,France,Double Room with Balcony,3,2022-06-01,Group,,22,0,0,0,10.0,No,3,1,1
Exceptional,,,10.0,United States of America,Double Room with Balcony,1,2022-06-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Cyprus,Double Room,1,2022-06-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United Kingdom,Budget Twin Room,1,2022-06-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Portugal,Double Room,1,2022-05-01,Solo,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Austria,Double Room with Balcony,3,2022-05-01,Couple,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,United States of America,Double Room with Balcony,1,2022-05-01,Solo,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Cyprus,Double Room with Balcony,1,2022-05-01,Couple,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Cyprus,Double Room with Balcony,2,2022-05-01,Couple,,9,0,0,0,8.0,No,1,1,1
Very good value for money. very good location.,,,9.0,United Arab Emirates,Double Room with Balcony,1,2022-05-01,Family,,46,0,0,0,9.0,No,5,1,1
Wonderful,,,9.0,North Macedonia,Two-Bedroom Suite,5,2022-05-01,Family,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Double Room,1,2022-05-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United States of America,Double Room with Balcony,1,2022-05-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,United Kingdom,Double Room,1,2022-05-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Greece,Double Room,1,2022-04-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Ukraine,Double Room with Balcony,5,2022-05-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Romania,Double Room with Balcony,1,2022-05-01,Solo,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Lithuania,Double Room with Balcony,1,2022-05-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Netherlands,Double Room with Balcony,1,2022-05-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Ireland,Double Room,1,2022-04-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,United States of America,Double Room,1,2022-05-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Double Room with Balcony,1,2022-05-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Serbia,Double Room,1,2022-04-01,Group,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United Kingdom,Double Room with Balcony,1,2022-04-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Cyprus,Family Suite with Balcony,1,2022-04-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Greece,Double Room with Balcony,1,2022-03-01,Solo,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Denmark,Double Room,1,2022-04-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Standard Triple Room,1,2022-04-01,Family,,11,0,0,0,10.0,No,2,1,1
A perfect place to stay for a few nights before leaving cyprus. very close to the airport,,,10.0,Canada,Double Room with Balcony,2,2022-04-01,Couple,,89,0,0,0,10.0,No,5,1,1
Wonderful,,,9.0,Australia,Double Room with Balcony,1,2022-04-01,Solo,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,United Kingdom,Double Room,1,2022-04-01,Couple,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,United Kingdom,Family Suite with Balcony,1,2022-04-01,Family,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,United States of America,Double Room with Balcony,1,2022-04-01,Group,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Double Room,3,2022-04-01,Solo,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Cyprus,Double Room with Balcony,1,2022-04-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Standard Triple Room,1,2022-04-01,Family,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Germany,Double Room,1,2022-04-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Lebanon,Double Room,1,2022-04-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Lebanon,Double Room,1,2022-04-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Lebanon,Double Room,1,2022-04-01,Solo,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Cyprus,Double Room,2,2022-04-01,Couple,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,United Kingdom,Double Room with Balcony,1,2022-03-01,Solo,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,United States of America,Double Room,1,2022-03-01,Family,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,United Kingdom,Double Room,1,2022-03-01,Solo,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,1,2022-03-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,1,2022-02-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Switzerland,Double Room with Balcony,1,2022-03-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Cyprus,Double Room,1,2022-03-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Russia,Double Room,1,2022-03-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Greece,Double Room with Balcony,1,2022-03-01,Couple,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Cyprus,Double Room,3,2021-12-01,Couple,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,United Kingdom,Family Suite with Balcony,1,2022-02-01,Family,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Russia,Double Room,1,2022-02-01,Solo,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Double Room,1,2021-12-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United Kingdom,Double Room,1,2022-02-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Lebanon,Double Room with Balcony,1,2022-01-01,Solo,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Ireland,Double Room,1,2021-12-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very handy for the airport,,,9.0,Malta,Family Suite with Balcony,1,2021-12-01,Family,,26,0,0,0,9.0,No,3,1,1
Exceptional,,,10.0,Ghana,Double Room with Balcony,4,2021-12-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United States of America,Double Room with Balcony,1,2021-11-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Canada,Double Room,1,2021-12-01,Group,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Romania,Double Room with Balcony,1,2021-11-01,Solo,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,United Kingdom,Double Room with Balcony,1,2021-09-01,Solo,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,United Kingdom,Double Room,1,2021-11-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Double Room,1,2021-12-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Canada,Double Room,1,2021-12-01,Solo,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,United Kingdom,Family Suite with Balcony,1,2021-10-01,Family,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Spain,Double Room,1,2021-11-01,Couple,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Netherlands,Double Room with Balcony,1,2021-09-01,Solo,,9,0,0,0,8.0,No,1,1,1
Wonderful,,,9.0,Russia,Double Room with Balcony,1,2021-11-01,Couple,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,United Kingdom,Double Room with Balcony,1,2021-10-01,Couple,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Lebanon,Double Room with Balcony,1,2021-11-01,Group,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Denmark,Standard Triple Room,1,2021-10-01,Family,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,1,2021-08-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United Kingdom,Double Room,1,2021-11-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,United Kingdom,Double Room,1,2021-11-01,Solo,,9,0,0,0,9.0,Yes,1,1,1
Exceptional,,,10.0,Russia,Double Room with Balcony,1,2021-10-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Germany,Double Room,1,2021-10-01,Couple,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,United Kingdom,Family Suite with Balcony,1,2021-10-01,Group,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Bosnia and Herzegovina,Double Room,3,2021-10-01,Couple,,11,0,0,0,10.0,No,2,1,1
Clean and modern furniture with friendly staff. good one night stay near to airport.,,,8.0,United Kingdom,Double Room with Balcony,1,2021-10-01,Couple,,84,0,0,0,8.0,No,5,1,1
Very good,,,8.0,United Kingdom,Two-Bedroom Suite,1,2021-10-01,Family,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Romania,Double Room with Balcony,1,2021-09-01,Solo,,9,0,0,0,8.0,No,1,1,1
Very good,,,8.0,Cyprus,Double Room with Balcony,1,2021-09-01,Solo,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Czech Republic,Double Room with Balcony,1,2021-10-01,Couple,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Australia,Standard Triple Room,1,2021-07-01,Group,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Russia,Double Room with Balcony,1,2021-09-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Russia,Double Room with Balcony,1,2021-10-01,Couple,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Russia,Double Room,1,2021-08-01,Group,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Romania,Double Room,4,2021-10-01,Couple,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Estonia,Double Room with Balcony,1,2021-10-01,Family,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,Kuwait,Double Room with Balcony,1,2021-10-01,Solo,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Colombia,Double Room with Balcony,1,2021-10-01,Family,,9,0,0,0,9.0,No,1,1,1
Very good,,,8.0,Netherlands,Double Room with Balcony,1,2021-09-01,Group,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Double Room,1,2021-09-01,Solo,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,United Kingdom,Double Room with Balcony,1,2021-09-01,Group,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Double Room with Balcony,1,2021-09-01,Solo,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,United Kingdom,Double Room with Balcony,1,2021-09-01,Group,,11,0,0,0,10.0,No,2,1,1
Exceptional,,,10.0,Cyprus,Double Room with Balcony,4,2021-09-01,Solo,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Germany,Family Suite with Balcony,1,2021-09-01,Family,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Family Suite with Balcony,1,2021-07-01,Family,,11,0,0,0,10.0,No,2,1,1
Wonderful,,,9.0,Ukraine,Double Room with Balcony,7,2021-08-01,Solo,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,United Kingdom,Double Room with Balcony,1,2021-09-01,Couple,,9,0,0,0,9.0,No,1,1,1
Wonderful,,,9.0,Austria,Double Room with Balcony,7,2021-08-01,Group,,9,0,0,0,9.0,No,1,1,1
Exceptional,,,10.0,United Kingdom,Double Room with Balcony,4,2021-08-01,Couple,,11,0,0,0,10.0,No,2,1,1
"Very handy for the airport. i would stay there again, for sure.",,,8.0,Cyprus,Double Room with Balcony,1,2021-09-01,Family,,63,0,0,0,8.0,No,5,1,1
Exceptional,,,10.0,Egypt,Double Room with Balcony,1,2021-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Ukraine,Standard Triple Room,1,2021-08-01,Group,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Turkey,Double Room with Balcony,1,2021-08-01,Family,,11,0,0,0,10.0,No,2,1,1
Very good,,,8.0,Netherlands,Double Room with Balcony,1,2021-08-01,Couple,,9,0,0,0,8.0,No,1,1,1
Exceptional,,,10.0,Saudi Arabia,Double Room with Balcony,1,2021-08-01,Solo,,11,0,0,0,10.0,No,2,1,1
